 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.00000000e+00 -6.22958924e-03 -1.66878147e-04 
 1.12201845e+00 -6.22958925e-03 -1.87240361e-04 
 1.25892541e+00 -6.22958926e-03 -2.10087140e-04 
 1.41253754e+00 -6.22958927e-03 -2.35721648e-04 
 1.58489319e+00 -6.22958929e-03 -2.64484039e-04 
 1.77827941e+00 -6.22958931e-03 -2.96755973e-04 
 1.99526231e+00 -6.22958934e-03 -3.32965678e-04 
 2.23872114e+00 -6.22958938e-03 -3.73593635e-04 
 2.51188643e+00 -6.22958942e-03 -4.19178953e-04 
 2.81838293e+00 -6.22958948e-03 -4.70326521e-04 
 3.16227766e+00 -6.22958955e-03 -5.27715036e-04 
 3.54813389e+00 -6.22958964e-03 -5.92106009e-04 
 3.98107171e+00 -6.22958976e-03 -6.64353869e-04 
 4.46683592e+00 -6.22958990e-03 -7.45417302e-04 
 5.01187234e+00 -6.22959008e-03 -8.36371969e-04 
 5.62341325e+00 -6.22959030e-03 -9.38424783e-04 
 6.30957344e+00 -6.22959059e-03 -1.05292992e-03 
 7.07945784e+00 -6.22959095e-03 -1.18140681e-03 
 7.94328235e+00 -6.22959140e-03 -1.32556024e-03 
 8.91250938e+00 -6.22959197e-03 -1.48730305e-03 
 1.00000000e+01 -6.22959268e-03 -1.66878147e-03 
 1.12201845e+01 -6.22959358e-03 -1.87240361e-03 
 1.25892541e+01 -6.22959472e-03 -2.10087140e-03 
 1.41253754e+01 -6.22959614e-03 -2.35721648e-03 
 1.58489319e+01 -6.22959794e-03 -2.64484039e-03 
 1.77827941e+01 -6.22960020e-03 -2.96755973e-03 
 1.99526231e+01 -6.22960305e-03 -3.32965678e-03 
 2.23872114e+01 -6.22960664e-03 -3.73593635e-03 
 2.51188643e+01 -6.22961115e-03 -4.19178953e-03 
 2.81838293e+01 -6.22961683e-03 -4.70326520e-03 
 3.16227766e+01 -6.22962399e-03 -5.27715035e-03 
 3.54813389e+01 -6.22963299e-03 -5.92106007e-03 
 3.98107171e+01 -6.22964433e-03 -6.64353867e-03 
 4.46683592e+01 -6.22965860e-03 -7.45417298e-03 
 5.01187234e+01 -6.22967657e-03 -8.36371963e-03 
 5.62341325e+01 -6.22969919e-03 -9.38424776e-03 
 6.30957344e+01 -6.22972767e-03 -1.05292991e-02 
 7.07945784e+01 -6.22976352e-03 -1.18140679e-02 
 7.94328235e+01 -6.22980866e-03 -1.32556022e-02 
 8.91250938e+01 -6.22986548e-03 -1.48730302e-02 
 1.00000000e+02 -6.22993702e-03 -1.66878143e-02 
 1.12201845e+02 -6.23002708e-03 -1.87240354e-02 
 1.25892541e+02 -6.23014045e-03 -2.10087131e-02 
 1.41253754e+02 -6.23028319e-03 -2.35721636e-02 
 1.58489319e+02 -6.23046288e-03 -2.64484022e-02 
 1.77827941e+02 -6.23068909e-03 -2.96755949e-02 
 1.99526231e+02 -6.23097388e-03 -3.32965644e-02 
 2.23872114e+02 -6.23133241e-03 -3.73593587e-02 
 2.51188643e+02 -6.23178377e-03 -4.19178885e-02 
 2.81838293e+02 -6.23235200e-03 -4.70326424e-02 
 3.16227766e+02 -6.23306735e-03 -5.27714900e-02 
 3.54813389e+02 -6.23396793e-03 -5.92105816e-02 
 3.98107171e+02 -6.23510170e-03 -6.64353596e-02 
 4.46683592e+02 -6.23652902e-03 -7.45416916e-02 
 5.01187234e+02 -6.23832591e-03 -8.36371424e-02 
 5.62341325e+02 -6.24058807e-03 -9.38424014e-02 
 6.30957344e+02 -6.24343595e-03 -1.05292884e-01 
 7.07945784e+02 -6.24702121e-03 -1.18140527e-01 
 7.94328235e+02 -6.25153479e-03 -1.32555807e-01 
 8.91250938e+02 -6.25721704e-03 -1.48729999e-01 
 1.00000000e+03 -6.26437056e-03 -1.66877714e-01 
 1.12201845e+03 -6.27337340e-03 -1.87239749e-01 
 1.25892541e+03 -6.28470803e-03 -2.10086277e-01 
 1.41253754e+03 -6.29898108e-03 -2.35720429e-01 
 1.58489319e+03 -6.31694971e-03 -2.64482317e-01 
 1.77827941e+03 -6.33957078e-03 -2.96753540e-01 
 1.99526231e+03 -6.36804595e-03 -3.32962241e-01 
 2.23872114e+03 -6.40389745e-03 -3.73588781e-01 
 2.51188643e+03 -6.44902850e-03 -4.19172097e-01 
 2.81838293e+03 -6.50584521e-03 -4.70316836e-01 
 3.16227766e+03 -6.57737579e-03 -5.27701356e-01 
 3.54813389e+03 -6.66741711e-03 -5.92086685e-01 
 3.98107171e+03 -6.78077779e-03 -6.64326574e-01 
 4.46683592e+03 -6.92348118e-03 -7.45378747e-01 
 5.01187234e+03 -7.10313260e-03 -8.36317510e-01 
 5.62341325e+03 -7.32928548e-03 -9.38347860e-01 
 6.30957344e+03 -7.61398134e-03 -1.05282127e+00 
 7.07945784e+03 -7.97236290e-03 -1.18125334e+00 
 7.94328235e+03 -8.42349813e-03 -1.32534347e+00 
 8.91250938e+03 -8.99138763e-03 -1.48699688e+00 
 1.00000000e+04 -9.70619683e-03 -1.66834904e+00 
 1.12201845e+04 -1.06059243e-02 -1.87179286e+00 
 1.25892541e+04 -1.17383482e-02 -2.10000883e+00 
 1.41253754e+04 -1.31635650e-02 -2.35599831e+00 
 1.58489319e+04 -1.49571421e-02 -2.64312011e+00 
 1.77827941e+04 -1.72140794e-02 -2.96513052e+00 
 1.99526231e+04 -2.00537171e-02 -3.32622678e+00 
 2.23872114e+04 -2.36259864e-02 -3.73109373e+00 
 2.51188643e+04 -2.81190319e-02 -4.18495340e+00 
 2.81838293e+04 -3.37688367e-02 -4.69361645e+00 
 3.16227766e+04 -4.08710902e-02 -5.26353451e+00 
 3.54813389e+04 -4.97958205e-02 -5.90185092e+00 
 3.98107171e+04 -6.10053999e-02 -6.61644707e+00 
 4.46683592e+04 -7.50764244e-02 -7.41597957e+00 
 5.01187234e+04 -9.27262608e-02 -8.30990175e+00 
 5.62341325e+04 -1.14844645e-01 -9.30846075e+00 
 6.30957344e+04 -1.42530909e-01 -1.04226577e+01 
 7.07945784e+04 -1.77136877e-01 -1.16641555e+01 
 7.94328235e+04 -2.20315004e-01 -1.30451138e+01 
