 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.00000000e+00 -1.69649279e-03 -9.32988756e-05 
 1.12201845e+00 -1.69649279e-03 -1.04683060e-04 
 1.25892541e+00 -1.69649280e-03 -1.17456325e-04 
 1.41253754e+00 -1.69649280e-03 -1.31788165e-04 
 1.58489319e+00 -1.69649280e-03 -1.47868753e-04 
 1.77827941e+00 -1.69649281e-03 -1.65911470e-04 
 1.99526231e+00 -1.69649282e-03 -1.86155731e-04 
 2.23872114e+00 -1.69649283e-03 -2.08870165e-04 
 2.51188643e+00 -1.69649284e-03 -2.34356180e-04 
 2.81838293e+00 -1.69649286e-03 -2.62951959e-04 
 3.16227766e+00 -1.69649288e-03 -2.95036950e-04 
 3.54813389e+00 -1.69649291e-03 -3.31036903e-04 
 3.98107171e+00 -1.69649294e-03 -3.71429514e-04 
 4.46683592e+00 -1.69649298e-03 -4.16750769e-04 
 5.01187234e+00 -1.69649303e-03 -4.67602054e-04 
 5.62341325e+00 -1.69649310e-03 -5.24658134e-04 
 6.30957344e+00 -1.69649318e-03 -5.88676108e-04 
 7.07945784e+00 -1.69649329e-03 -6.60505457e-04 
 7.94328235e+00 -1.69649342e-03 -7.41099312e-04 
 8.91250938e+00 -1.69649358e-03 -8.31527104e-04 
 1.00000000e+01 -1.69649379e-03 -9.32988756e-04 
 1.12201845e+01 -1.69649405e-03 -1.04683060e-03 
 1.25892541e+01 -1.69649438e-03 -1.17456325e-03 
 1.41253754e+01 -1.69649480e-03 -1.31788165e-03 
 1.58489319e+01 -1.69649532e-03 -1.47868753e-03 
 1.77827941e+01 -1.69649598e-03 -1.65911469e-03 
 1.99526231e+01 -1.69649681e-03 -1.86155731e-03 
 2.23872114e+01 -1.69649785e-03 -2.08870165e-03 
 2.51188643e+01 -1.69649916e-03 -2.34356180e-03 
 2.81838293e+01 -1.69650082e-03 -2.62951958e-03 
 3.16227766e+01 -1.69650290e-03 -2.95036950e-03 
 3.54813389e+01 -1.69650552e-03 -3.31036902e-03 
 3.98107171e+01 -1.69650882e-03 -3.71429514e-03 
 4.46683592e+01 -1.69651297e-03 -4.16750769e-03 
 5.01187234e+01 -1.69651820e-03 -4.67602053e-03 
 5.62341325e+01 -1.69652478e-03 -5.24658132e-03 
 6.30957344e+01 -1.69653306e-03 -5.88676106e-03 
 7.07945784e+01 -1.69654350e-03 -6.60505455e-03 
 7.94328235e+01 -1.69655663e-03 -7.41099308e-03 
 8.91250938e+01 -1.69657316e-03 -8.31527100e-03 
 1.00000000e+02 -1.69659397e-03 -9.32988750e-03 
 1.12201845e+02 -1.69662017e-03 -1.04683059e-02 
 1.25892541e+02 -1.69665316e-03 -1.17456324e-02 
 1.41253754e+02 -1.69669468e-03 -1.31788163e-02 
 1.58489319e+02 -1.69674696e-03 -1.47868750e-02 
 1.77827941e+02 -1.69681278e-03 -1.65911466e-02 
 1.99526231e+02 -1.69689563e-03 -1.86155725e-02 
 2.23872114e+02 -1.69699994e-03 -2.08870157e-02 
 2.51188643e+02 -1.69713126e-03 -2.34356169e-02 
 2.81838293e+02 -1.69729658e-03 -2.62951943e-02 
 3.16227766e+02 -1.69750470e-03 -2.95036929e-02 
 3.54813389e+02 -1.69776671e-03 -3.31036873e-02 
 3.98107171e+02 -1.69809656e-03 -3.71429471e-02 
 4.46683592e+02 -1.69851182e-03 -4.16750709e-02 
 5.01187234e+02 -1.69903461e-03 -4.67601969e-02 
 5.62341325e+02 -1.69969264e-03 -5.24658013e-02 
 6.30957344e+02 -1.70052120e-03 -5.88675938e-02 
 7.07945784e+02 -1.70156428e-03 -6.60505217e-02 
 7.94328235e+02 -1.70287745e-03 -7.41098972e-02 
 8.91250938e+02 -1.70453063e-03 -8.31526625e-02 
