 frequency       db(v(VOUT))     180*cph(v(VOUT))/pi
 1.00000000e+00 -2.44580325e-03 -1.12637464e-04 
 1.12201845e+00 -2.44580326e-03 -1.26381314e-04 
 1.25892541e+00 -2.44580326e-03 -1.41802166e-04 
 1.41253754e+00 -2.44580327e-03 -1.59104647e-04 
 1.58489319e+00 -2.44580328e-03 -1.78518351e-04 
 1.77827941e+00 -2.44580329e-03 -2.00300884e-04 
 1.99526231e+00 -2.44580330e-03 -2.24741288e-04 
 2.23872114e+00 -2.44580332e-03 -2.52163873e-04 
 2.51188643e+00 -2.44580334e-03 -2.82932518e-04 
 2.81838293e+00 -2.44580336e-03 -3.17455507e-04 
 3.16227766e+00 -2.44580339e-03 -3.56190937e-04 
 3.54813389e+00 -2.44580343e-03 -3.99652805e-04 
 3.98107171e+00 -2.44580348e-03 -4.48417822e-04 
 4.46683592e+00 -2.44580355e-03 -5.03133072e-04 
 5.01187234e+00 -2.44580363e-03 -5.64524592e-04 
 5.62341325e+00 -2.44580373e-03 -6.33407010e-04 
 6.30957344e+00 -2.44580385e-03 -7.10694354e-04 
 7.07945784e+00 -2.44580401e-03 -7.97412181e-04 
 7.94328235e+00 -2.44580421e-03 -8.94711182e-04 
 8.91250938e+00 -2.44580446e-03 -1.00388246e-03 
 1.00000000e+01 -2.44580478e-03 -1.12637464e-03 
 1.12201845e+01 -2.44580518e-03 -1.26381314e-03 
 1.25892541e+01 -2.44580568e-03 -1.41802166e-03 
 1.41253754e+01 -2.44580631e-03 -1.59104647e-03 
 1.58489319e+01 -2.44580710e-03 -1.78518350e-03 
 1.77827941e+01 -2.44580810e-03 -2.00300884e-03 
 1.99526231e+01 -2.44580936e-03 -2.24741288e-03 
 2.23872114e+01 -2.44581095e-03 -2.52163872e-03 
 2.51188643e+01 -2.44581294e-03 -2.82932518e-03 
 2.81838293e+01 -2.44581545e-03 -3.17455507e-03 
 3.16227766e+01 -2.44581862e-03 -3.56190937e-03 
 3.54813389e+01 -2.44582260e-03 -3.99652804e-03 
 3.98107171e+01 -2.44582761e-03 -4.48417822e-03 
 4.46683592e+01 -2.44583392e-03 -5.03133071e-03 
 5.01187234e+01 -2.44584187e-03 -5.64524590e-03 
 5.62341325e+01 -2.44585187e-03 -6.33407008e-03 
 6.30957344e+01 -2.44586446e-03 -7.10694351e-03 
 7.07945784e+01 -2.44588031e-03 -7.97412176e-03 
 7.94328235e+01 -2.44590027e-03 -8.94711176e-03 
 8.91250938e+01 -2.44592539e-03 -1.00388245e-02 
 1.00000000e+02 -2.44595702e-03 -1.12637463e-02 
 1.12201845e+02 -2.44599684e-03 -1.26381312e-02 
 1.25892541e+02 -2.44604697e-03 -1.41802164e-02 
 1.41253754e+02 -2.44611008e-03 -1.59104644e-02 
 1.58489319e+02 -2.44618952e-03 -1.78518345e-02 
 1.77827941e+02 -2.44628954e-03 -2.00300877e-02 
 1.99526231e+02 -2.44641546e-03 -2.24741278e-02 
 2.23872114e+02 -2.44657398e-03 -2.52163858e-02 
 2.51188643e+02 -2.44677354e-03 -2.82932498e-02 
 2.81838293e+02 -2.44702478e-03 -3.17455479e-02 
 3.16227766e+02 -2.44734107e-03 -3.56190897e-02 
 3.54813389e+02 -2.44773925e-03 -3.99652748e-02 
 3.98107171e+02 -2.44824053e-03 -4.48417742e-02 
 4.46683592e+02 -2.44887161e-03 -5.03132959e-02 
 5.01187234e+02 -2.44966609e-03 -5.64524432e-02 
 5.62341325e+02 -2.45066628e-03 -6.33406784e-02 
 6.30957344e+02 -2.45192544e-03 -7.10694035e-02 
 7.07945784e+02 -2.45351063e-03 -7.97411730e-02 
 7.94328235e+02 -2.45550627e-03 -8.94710546e-02 
 8.91250938e+02 -2.45801863e-03 -1.00388156e-01 
 1.00000000e+03 -2.46118150e-03 -1.12637337e-01 
 1.12201845e+03 -2.46516331e-03 -1.26381134e-01 
 1.25892541e+03 -2.47017612e-03 -1.41801913e-01 
 1.41253754e+03 -2.47648685e-03 -1.59104289e-01 
 1.58489319e+03 -2.48443158e-03 -1.78517845e-01 
 1.77827941e+03 -2.49443338e-03 -2.00300169e-01 
 1.99526231e+03 -2.50702487e-03 -2.24740279e-01 
 2.23872114e+03 -2.52287656e-03 -2.52162447e-01 
 2.51188643e+03 -2.54283258e-03 -2.82930505e-01 
 2.81838293e+03 -2.56795560e-03 -3.17452663e-01 
 3.16227766e+03 -2.59958339e-03 -3.56186920e-01 
 3.54813389e+03 -2.63940008e-03 -3.99647130e-01 
 3.98107171e+03 -2.68952582e-03 -4.48409807e-01 
 4.46683592e+03 -2.75262957e-03 -5.03121750e-01 
 5.01187234e+03 -2.83207118e-03 -5.64508599e-01 
 5.62341325e+03 -2.93208018e-03 -6.33384419e-01 
 6.30957344e+03 -3.05798078e-03 -7.10662444e-01 
 7.07945784e+03 -3.21647507e-03 -7.97367108e-01 
 7.94328235e+03 -3.41599936e-03 -8.94647517e-01 
 8.91250938e+03 -3.66717255e-03 -1.00379253e+00 
 1.00000000e+04 -3.98336025e-03 -1.12624763e+00 
 1.12201845e+04 -4.38138432e-03 -1.26363373e+00 
 1.25892541e+04 -4.88241519e-03 -1.41776826e+00 
 1.41253754e+04 -5.51309370e-03 -1.59068856e+00 
 1.58489319e+04 -6.30694098e-03 -1.78467800e+00 
 1.77827941e+04 -7.30612966e-03 -2.00229489e+00 
 1.99526231e+04 -8.56370763e-03 -2.24640457e+00 
 2.23872114e+04 -1.01463880e-02 -2.52021476e+00 
 2.51188643e+04 -1.21380466e-02 -2.82731434e+00 
 2.81838293e+04 -1.46441012e-02 -3.17171565e+00 
 3.16227766e+04 -1.77969866e-02 -3.55790034e+00 
 3.54813389e+04 -2.17629896e-02 -3.99086824e+00 
 3.98107171e+04 -2.67507587e-02 -4.47618903e+00 
 4.46683592e+04 -3.30218719e-02 -5.02005546e+00 
 5.01187234e+04 -4.09039103e-02 -5.62933652e+00 
 5.62341325e+04 -5.08065567e-02 -6.31162823e+00 
 6.30957344e+04 -6.32413009e-02 -7.07529802e+00 
 7.07945784e+04 -7.88453746e-02 -7.92951773e+00 
 7.94328235e+04 -9.84105333e-02 -8.88427735e+00 
 8.91250938e+04 -1.22917219e-01 -9.95036946e+00 
 1.00000000e+05 -1.53574411e-01 -1.11393306e+01 
 1.12201845e+05 -1.91865032e-01 -1.24633216e+01 
 1.25892541e+05 -2.39596033e-01 -1.39349259e+01 
 1.41253754e+05 -2.98951077e-01 -1.55668383e+01 
 1.58489319e+05 -3.72542018e-01 -1.73714179e+01 
