 v-sweep         v(VREF)         v(VIN)          v(VOUT)        
 0.00000000e+00  2.50000000e-01  0.00000000e+00  4.08177166e-01 
 1.00000000e-03  2.50000000e-01  1.00000000e-03  4.08180927e-01 
 2.00000000e-03  2.50000000e-01  2.00000000e-03  4.08185988e-01 
 3.00000000e-03  2.50000000e-01  3.00000000e-03  4.08187717e-01 
 4.00000000e-03  2.50000000e-01  4.00000000e-03  4.08183898e-01 
 5.00000000e-03  2.50000000e-01  5.00000000e-03  4.08201513e-01 
 6.00000000e-03  2.50000000e-01  6.00000000e-03  4.08207012e-01 
 7.00000000e-03  2.50000000e-01  7.00000000e-03  4.08202959e-01 
 8.00000000e-03  2.50000000e-01  8.00000000e-03  4.08208033e-01 
 9.00000000e-03  2.50000000e-01  9.00000000e-03  4.08219861e-01 
 1.00000000e-02  2.50000000e-01  1.00000000e-02  4.08221871e-01 
 1.10000000e-02  2.50000000e-01  1.10000000e-02  4.08231050e-01 
 1.20000000e-02  2.50000000e-01  1.20000000e-02  4.08230561e-01 
 1.30000000e-02  2.50000000e-01  1.30000000e-02  4.08231361e-01 
 1.40000000e-02  2.50000000e-01  1.40000000e-02  4.08240293e-01 
 1.50000000e-02  2.50000000e-01  1.50000000e-02  4.08256059e-01 
 1.60000000e-02  2.50000000e-01  1.60000000e-02  4.08255959e-01 
 1.70000000e-02  2.50000000e-01  1.70000000e-02  4.08256791e-01 
 1.80000000e-02  2.50000000e-01  1.80000000e-02  4.08264400e-01 
 1.90000000e-02  2.50000000e-01  1.90000000e-02  4.08271735e-01 
 2.00000000e-02  2.50000000e-01  2.00000000e-02  4.08274850e-01 
 2.10000000e-02  2.50000000e-01  2.10000000e-02  4.08276809e-01 
 2.20000000e-02  2.50000000e-01  2.20000000e-02  4.08280574e-01 
 2.30000000e-02  2.50000000e-01  2.30000000e-02  4.08289763e-01 
 2.40000000e-02  2.50000000e-01  2.40000000e-02  4.08292817e-01 
 2.50000000e-02  2.50000000e-01  2.50000000e-02  4.08306546e-01 
 2.60000000e-02  2.50000000e-01  2.60000000e-02  4.08313207e-01 
 2.70000000e-02  2.50000000e-01  2.70000000e-02  4.08320255e-01 
 2.80000000e-02  2.50000000e-01  2.80000000e-02  4.08320246e-01 
 2.90000000e-02  2.50000000e-01  2.90000000e-02  4.08336109e-01 
 3.00000000e-02  2.50000000e-01  3.00000000e-02  4.08336746e-01 
 3.10000000e-02  2.50000000e-01  3.10000000e-02  4.08342597e-01 
 3.20000000e-02  2.50000000e-01  3.20000000e-02  4.08360379e-01 
 3.30000000e-02  2.50000000e-01  3.30000000e-02  4.08368400e-01 
 3.40000000e-02  2.50000000e-01  3.40000000e-02  4.08371095e-01 
 3.50000000e-02  2.50000000e-01  3.50000000e-02  4.08383410e-01 
 3.60000000e-02  2.50000000e-01  3.60000000e-02  4.08387833e-01 
 3.70000000e-02  2.50000000e-01  3.70000000e-02  4.08397350e-01 
 3.80000000e-02  2.50000000e-01  3.80000000e-02  4.08400285e-01 
 3.90000000e-02  2.50000000e-01  3.90000000e-02  4.08420726e-01 
 4.00000000e-02  2.50000000e-01  4.00000000e-02  4.08422632e-01 
 4.10000000e-02  2.50000000e-01  4.10000000e-02  4.08445046e-01 
 4.20000000e-02  2.50000000e-01  4.20000000e-02  4.08448711e-01 
 4.30000000e-02  2.50000000e-01  4.30000000e-02  4.08465138e-01 
 4.40000000e-02  2.50000000e-01  4.40000000e-02  4.08477134e-01 
 4.50000000e-02  2.50000000e-01  4.50000000e-02  4.08484490e-01 
 4.60000000e-02  2.50000000e-01  4.60000000e-02  4.08487561e-01 
 4.70000000e-02  2.50000000e-01  4.70000000e-02  4.08499203e-01 
 4.80000000e-02  2.50000000e-01  4.80000000e-02  4.08524568e-01 
 4.90000000e-02  2.50000000e-01  4.90000000e-02  4.08525674e-01 
 5.00000000e-02  2.50000000e-01  5.00000000e-02  4.08547293e-01 
 5.10000000e-02  2.50000000e-01  5.10000000e-02  4.08562201e-01 
 5.20000000e-02  2.50000000e-01  5.20000000e-02  4.08571676e-01 
 5.30000000e-02  2.50000000e-01  5.30000000e-02  4.08584943e-01 
 5.40000000e-02  2.50000000e-01  5.40000000e-02  4.08595479e-01 
 5.50000000e-02  2.50000000e-01  5.50000000e-02  4.08607103e-01 
 5.60000000e-02  2.50000000e-01  5.60000000e-02  4.08629168e-01 
 5.70000000e-02  2.50000000e-01  5.70000000e-02  4.08654141e-01 
 5.80000000e-02  2.50000000e-01  5.80000000e-02  4.08655891e-01 
 5.90000000e-02  2.50000000e-01  5.90000000e-02  4.08683441e-01 
 6.00000000e-02  2.50000000e-01  6.00000000e-02  4.08694213e-01 
